Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
Deep Learning,Neural Networks and Deep Learning,COURSE,https://www.coursera.org/learn/neural-networks-deep-learning,DeepLearning.AI,4.9,Intermediate,97376,NA,p,NA,Coursera
Deep Learning,TensorFlow 2 for Deep Learning,SPECIALIZATION,https://www.coursera.org/specializations/tensorflow2-deeplearning,Imperial College London,4.9,Intermediate,149,NA,p,NA,Coursera
Deep Learning,Generative Adversarial Networks (GANs),SPECIALIZATION,https://www.coursera.org/specializations/generative-adversarial-networks-gans,DeepLearning.AI,4.7,Intermediate,278,NA,p,NA,Coursera
ML,Advanced Machine Learning,SPECIALIZATION,https://www.coursera.org/specializations/aml,National Research University Higher School of Economics,4.5,Advanced,3514,NA,p,NA,Coursera
AI,AI for Medicine,SPECIALIZATION,https://www.coursera.org/specializations/ai-for-medicine,DeepLearning.AI,4.7,Intermediate,1403,NA,p,NA,Coursera
ML,Mathematics for Machine Learning,SPECIALIZATION,https://www.coursera.org/specializations/mathematics-machine-learning,Imperial College London,4.6,Beginner,9678,NA,p,NA,Coursera
AI,AI For Everyone,COURSE,https://www.coursera.org/learn/ai-for-everyone,DeepLearning.AI,4.8,Beginner,28080,NA,p,NA,Coursera
AI,IBM AI Engineering,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/ai-engineer,IBM,4.6,Intermediate,10990,NA,p,NA,Coursera
Deep Learning,TensorFlow: Data and Deployment,SPECIALIZATION,https://www.coursera.org/specializations/tensorflow-data-and-deployment,DeepLearning.AI,4.6,Intermediate,790,NA,p,NA,Coursera
Deep Learning,Self-Driving Cars,SPECIALIZATION,https://www.coursera.org/specializations/self-driving-cars,University of Toronto,4.7,Advanced,2034,NA,p,NA,Coursera
Deep Learning,Reinforcement Learning,SPECIALIZATION,https://www.coursera.org/specializations/reinforcement-learning,University of Alberta,4.7,Intermediate,1868,NA,p,NA,Coursera
ML,Advanced Machine Learning with TensorFlow on Google Cloud Platform,SPECIALIZATION,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,Google Cloud,4.5,Advanced,1875,NA,p,NA,Coursera
